"store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Source","Location"
"Store Name","Address","Address 2","City","State","Zip","County","Store Type","Incentive Program","Grantee Name","Point Source","Selected Location"
"SAFEWAY  4601","145 Jackson St","","San Francisco","CA","94111","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"SAFEWAY  667","5290 Diamond Heights Blvd","","San Francisco","CA","94131","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"SAFEWAY  739","3350 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"SAFEWAY  785","850 La Playa St","","San Francisco","CA","94121","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"SAFEWAY  909","730 Taraval St","","San Francisco","CA","94116","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"SAFEWAY  964","4950 Mission St","","San Francisco","CA","94112","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"SAFEWAY  985","2350 Noriega St","","San Francisco","CA","94122","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"SAFEWAY  995","1335 Webster St","","San Francisco","CA","94115","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"SAFEWAY 1507","2020 Market St","","San Francisco","CA","94114","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"SAFEWAY 1711","15 Marina Blvd","","San Francisco","CA","94123","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"SAFEWAY 2606","298 King St","","San Francisco","CA","94107","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"SAFEWAY 759","625 Monterey Blvd","","San Francisco","CA","94127","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"SAN BRUNO SUPERMARKET","2480 San Bruno Ave","","San Francisco","CA","94134","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"SMART & FINAL 351","350 7th Ave","","San Francisco","CA","94118","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Safeway 2646","735 7th Ave","","San Francisco","CA","94118","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"Salama Foods Center","600 Geary St","","San Francisco","CA","94102","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Samiramis Market","2990 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"San Francisco Farmers Market","4929 Mission St","","San Francisco","CA","94112","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Santa Clara Nature Organic Market","798 Haight St","","San Francisco","CA","94117","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Sf Hop Hing Llc","1211 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Sf Organica","500 Larkin St","","San Francisco","CA","94102","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Shun Yuan Herbs Ginseng Inc.","2713 San Bruno Ave","","San Francisco","CA","94134","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Silver Market Inc","2501 San Bruno Ave","","San Francisco","CA","94134","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Siu Wah Food Inc","2102 Irving St","","San Francisco","CA","94122","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"So Pho So Good","2445 Noriega St","","San Francisco","CA","94122","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Soma Produce Market 1","110 6th St","","San Francisco","CA","94103","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Soma West Farmers Market","398 12th St","","San Francisco","CA","94103","SAN FRANCISCO","Farmers and Markets","","","USDA","San Francisco (City, 2020)"
"Stonestown Farmers Market/Ag Institute of Marin","3251 20th Avenue","","San Francisco","CA","94132","SAN FRANCISCO","Farmers and Markets","","California Department of Food and Agriculture","USDA","San Francisco (City, 2020)"
"Subway #33355","750 Font Blvd","","San Francisco","CA","94132","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Subway #43108","4841 Mission St","","San Francisco","CA","94112","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Subway #67223","350 Bay St","Suite 1","San Francisco","CA","94133","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Subway #7154","3801 3rd St","Ste 310","San Francisco","CA","94124","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Sunset Super","2801 Vicente St","","San Francisco","CA","94116","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Super Discount Market","738 Larkin St","","San Francisco","CA","94109","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Super Save Market","4517 3rd St","","San Francisco","CA","94124","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Sutter Fine Food","988 Sutter St","","San Francisco","CA","94109","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Sutter Market","1144 Sutter St","","San Francisco","CA","94109","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Sweet Chinito","3100 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Boye & J Grocery","915 Stockton St","","San Francisco","CA","94108","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Bread & Butter Market","888 O'Farrell St","","San Francisco","CA","94109","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Burger King 9365","3900 Geary Blvd  Suite 101","","San Francisco","CA","94118","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Bush Market","820 Bush St","","San Francisco","CA","94108","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"CASA LUCAS MARKET","2934 24th St","","San Francisco","CA","94110","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"CHICO'S PIZZA","131 6th St","","San Francisco","CA","94103","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
